Date,Open,High,Low,Close,Adj Close,Volume
31/12/2015,107.010002,107.029999,104.82,105.260002,101.703697,40635300
4/1/2016,102.610001,105.370003,102,105.349998,101.790649,67649400
5/1/2016,105.75,105.849998,102.410004,102.709999,99.239845,55791000
6/1/2016,100.559998,102.370003,99.870003,100.699997,97.29776,68457400
7/1/2016,98.68,100.129997,96.43,96.449997,93.191338,81094400
8/1/2016,98.550003,99.110001,96.760002,96.959999,93.68412,70798000
11/1/2016,98.970001,99.059998,97.339996,98.529999,95.201073,49739400
12/1/2016,100.550003,100.690002,98.839996,99.959999,96.582756,49154200
13/1/2016,100.32,101.190002,97.300003,97.389999,94.099594,62439600
14/1/2016,97.959999,100.480003,95.739998,99.519997,96.157608,63170100
15/1/2016,96.199997,97.709999,95.360001,97.129997,93.848373,79010000
19/1/2016,98.410004,98.650002,95.5,96.660004,93.394257,53087700
20/1/2016,95.099998,98.190002,93.419998,96.790001,93.519867,72334400
21/1/2016,97.059998,97.879997,94.940002,96.300003,93.046417,52161500
22/1/2016,98.629997,101.459999,98.370003,101.419998,97.993423,65800500
25/1/2016,101.519997,101.529999,99.209999,99.440002,96.080322,51794500
26/1/2016,99.93,100.879997,98.07,99.989998,96.61174,75077000
27/1/2016,96.040001,96.629997,93.339996,93.419998,90.263725,133369700
28/1/2016,93.790001,94.519997,92.389999,94.089996,90.911087,55678800
29/1/2016,94.790001,97.339996,94.349998,97.339996,94.05127,64416500
1/2/2016,96.470001,96.709999,95.400002,96.43,93.172028,40943500
2/2/2016,95.419998,96.040001,94.279999,94.480003,91.28791,37357200
3/2/2016,95,96.839996,94.080002,96.349998,93.094734,45964300
4/2/2016,95.860001,97.330002,95.190002,96.599998,93.842743,46471700
5/2/2016,96.519997,96.919998,93.690002,94.019997,91.336388,46418100
8/2/2016,93.129997,95.699997,93.040001,95.010002,92.298134,54021400
9/2/2016,94.290001,95.940002,93.93,94.989998,92.278694,44331200
10/2/2016,95.919998,96.349998,94.099998,94.269997,91.579254,42343600
